122,122,122,122,103,23,101,102,102,102,102,102,102,102,102,102,102,102,102,122,122
122,102,102,122,103,44,101,102,102,122,102,102,102,102,122,102,122,122,122,122,44
122,102,102,122,103,44,101,122,122,122,44,44,44,44,44,44,44,44,44,44,44
122,102,122,122,143,44,141,122,80,80,80,44,44,44,44,80,44,44,44,44,44
122,122,122,80,80,80,80,80,80,44,44,44,80,80,80,80,44,44,44,44,44
122,122,44,80,80,80,80,80,80,80,80,80,44,44,44,44,80,80,80,44,122
122,122,44,44,44,44,44,44,44,44,44,44,44,44,44,44,80,80,44,44,122
102,122,122,44,44,44,44,44,44,60,80,80,44,44,44,44,41,80,61,122,122
122,102,122,122,44,44,44,61,122,122,122,122,122,122,122,122,122,122,122,122,122
122,102,102,122,122,122,122,122,122,122,122,122,122,122,122,122,102,102,122,122,122
122,122,102,122,122,122,102,122,122,102,122,122,102,122,122,122,122,122,122,102,102
102,102,102,122,122,122,122,122,102,102,102,122,122,122,122,122,122,122,122,122,122
122,102,102,102,122,122,122,122,122,122,122,122,122,122,122,122,102,122,122,122,122
