60,44,44,44,44,23,44,44,44,44,44,44,44,44,44,23,44,44,44,40
40,0,1,44,44,44,44,44,44,44,44,22,44,44,44,44,44,44,44,40
60,20,21,44,44,44,4,5,6,44,44,44,44,44,44,44,44,44,44,40
40,44,44,44,44,44,24,25,26,44,23,44,44,44,44,22,44,44,44,40
40,44,44,4,5,6,44,44,44,44,44,44,44,44,44,44,44,44,44,40
40,44,44,24,25,26,44,44,44,44,44,44,44,44,44,44,44,44,60,40
40,60,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,40
40,40,60,44,44,44,44,44,44,44,44,61,44,44,44,44,40,44,44,40
40,60,40,40,44,44,44,44,44,40,60,40,40,44,44,44,44,44,44,40
60,40,40,40,41,44,44,44,44,44,44,44,44,44,40,44,44,44,44,40
82,82,82,82,82,82,82,83,84,84,84,84,84,84,81,82,83,44,44,40
122,102,122,102,122,102,122,103,104,104,104,104,104,104,101,102,103,60,41,60
